stack,page,status,latency_ms,raw_text_chars,n_text_blocks,n_layout_blocks,n_tables,n_kv_pairs,model_revision
docling,sec-10k-tech-01,ok,15777.3,3547,5,5,3,0,docling@local-pip
docling,sec-10k-bank-01,ok,4545.1,4963,4,4,3,0,docling@local-pip
docling,docile-invoice-01,ok,5652.0,977,12,12,2,0,docling@local-pip
docling,funsd-form-01,ok,1933.8,777,22,22,0,0,docling@local-pip
docling,cord-receipt-01,ok,1149.0,377,0,0,1,0,docling@local-pip
docling,fintabnet-table-01,ok,1566.4,429,0,0,1,0,docling@local-pip
docling,iam-handwriting-01,ok,564.8,83,2,2,0,0,docling@local-pip
docling,omnidocbench-multilingual-01,ok,9124.1,642,114,114,1,0,docling@local-pip
qwen-8b,sec-10k-tech-01,ok,7457.0,2028,0,0,0,0,qwen/qwen3-vl-8b-instruct
qwen-8b,sec-10k-bank-01,ok,21751.2,2120,0,0,0,0,qwen/qwen3-vl-8b-instruct
qwen-8b,docile-invoice-01,ok,12475.0,1753,0,0,0,23,qwen/qwen3-vl-8b-instruct
qwen-8b,funsd-form-01,ok,13690.6,1682,0,0,0,7,qwen/qwen3-vl-8b-instruct
qwen-8b,cord-receipt-01,ok,4931.0,357,0,0,0,6,qwen/qwen3-vl-8b-instruct
qwen-8b,fintabnet-table-01,ok,5106.4,683,0,0,0,0,qwen/qwen3-vl-8b-instruct
qwen-8b,iam-handwriting-01,ok,2274.6,110,0,0,0,0,qwen/qwen3-vl-8b-instruct
qwen-8b,omnidocbench-multilingual-01,ok,12845.3,1512,0,0,0,0,qwen/qwen3-vl-8b-instruct
qwen-30b-a3b,sec-10k-tech-01,ok,15012.0,2025,0,0,0,0,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,sec-10k-bank-01,ok,12204.3,2493,0,0,0,1,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,docile-invoice-01,ok,7014.5,1552,0,0,0,24,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,funsd-form-01,ok,11981.9,1626,0,0,0,6,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,cord-receipt-01,ok,3916.6,168,0,0,0,0,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,fintabnet-table-01,ok,14127.4,533,0,0,0,12,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,iam-handwriting-01,ok,2337.9,87,0,0,0,0,qwen/qwen3-vl-30b-a3b-instruct
qwen-30b-a3b,omnidocbench-multilingual-01,ok,14019.8,1332,0,0,0,5,qwen/qwen3-vl-30b-a3b-instruct
qwen-32b,sec-10k-tech-01,ok,25779.8,4055,0,0,0,40,qwen/qwen3-vl-32b-instruct
qwen-32b,sec-10k-bank-01,ok,19967.5,2526,0,0,0,7,qwen/qwen3-vl-32b-instruct
qwen-32b,docile-invoice-01,ok,10441.1,1703,0,0,0,19,qwen/qwen3-vl-32b-instruct
qwen-32b,funsd-form-01,ok,11778.4,2000,0,0,0,14,qwen/qwen3-vl-32b-instruct
qwen-32b,cord-receipt-01,ok,6535.9,787,0,0,0,11,qwen/qwen3-vl-32b-instruct
qwen-32b,fintabnet-table-01,ok,7393.2,965,0,0,0,15,qwen/qwen3-vl-32b-instruct
qwen-32b,iam-handwriting-01,ok,2551.8,256,0,0,0,3,qwen/qwen3-vl-32b-instruct
qwen-32b,omnidocbench-multilingual-01,ok,11990.3,1886,0,0,0,5,qwen/qwen3-vl-32b-instruct
qwen-235b-a22b,sec-10k-tech-01,ok,17434.8,1912,0,0,0,0,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,sec-10k-bank-01,ok,19374.6,2126,0,0,0,0,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,docile-invoice-01,ok,14926.4,1733,0,0,0,24,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,funsd-form-01,ok,16476.9,1700,0,0,0,7,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,cord-receipt-01,ok,5521.9,321,0,0,0,6,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,fintabnet-table-01,ok,10558.9,610,0,0,0,15,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,iam-handwriting-01,ok,2676.8,196,0,0,0,1,qwen/qwen3-vl-235b-a22b-instruct
qwen-235b-a22b,omnidocbench-multilingual-01,ok,14139.6,1640,0,0,0,5,qwen/qwen3-vl-235b-a22b-instruct
